Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Geschubde inktzwam,Gekuifde Paddestoel,Coprinus comatus,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/38/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Stomphoekig sterrenkroos,Voorjaars Haarsteng,Callitriche obtusangula,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/39/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Zachte dravik,Zachte Dravik,Bromus hordeaceus,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/40/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Watergras,Water Knabbelgras,Catabrosa aquatica,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/41/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Bleke klaproos,aanverwante Maankop,Papaver dubium,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/42/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Kleine tijm,smalbladige Thijm,Thymus serpyllum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/43/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Riempjes,zand Riempjes,Corrigiola litoralis,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/44/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Struikhei,Gewone Heide,Calluna vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/45/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Franse boekweit,Tartaarsche Duizendknoop,Fagopyrum tataricum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/46/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Hengel,Geelbloemig Zwartkoorn,Melampyrum pratense,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/47/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Glad biggenkruid,onbehaard Biggekruid,Hypochaeris glabra,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/48/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Mannagras,Groot Vlotgras,Glyceria fluitans,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/49/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Beklierde duizendknoop,Bleekbloeijende Duizendknoop met gezwollen geledingen,Persicaria lapathifolia subsp. lapathifolia,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/50/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Slijkgroen,Spatelvorming Slijkgroen,Limosella aquatica,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/51/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Gewoon knikkertjesmos ,Peervormige Kaalmond,Physcomitrium pyriforme,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/52/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Iers mos,"Carragheen-mos, Iersche mos",Chondrus crispus,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/53/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Suikerwier,Suikergevend Zeeblad,Saccharina latissima,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/54/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Kweek,Blaauwgroen Tarwgras,Elymus repens,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/55/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Moerasandijvie,"Hollandsch Moeras-Aschkruid, Wilde Endivie",Tephroseris palustris,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/56/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Watermunt,Hoofdjesdragende Water-Munt,Mentha aquatica,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/57/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Pijlkruid,"Gemeen Pijlkruid, Serpentstonge",Sagittaria sagittifolia,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/58/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Slijkgras,Stijf Bezemgras,Spartina spec.,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/59/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Lamsoor,Pluimvormend Limoenkruid,Limonium vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/60/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Knotswier,Knobbelige Rozenkrans,Ascophyllum nodosum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/61/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Kleine zee-eik,Spiraalvormige Zee-Eik,Fucus spiralis,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/62/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Behaarde boterbloem,Behaarde Ranonkel of Hanenvoet,Ranunculus sardous,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/63/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Kruipganzerik,Kruipende Tormentil,Potentilla anglica,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/64/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Zeesla,Breed Watervlies,Ulva lactuca,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/65/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Purperwier,Purperkleurig Watervlies,Porphyra purpurea,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/66/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Broeskroesmos,Sierlijke Moszwam,Ulota phyllantha,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/67/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Genadekruid,Gewoon Genadenkruid,Gratiola officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/68/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Boekweit,"Boekweit, Boekweit Duizendknoop",Fagopyrum esculentum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/69/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Vroege sterhyacint,Tweebladige Zee-ajuin,Scilla bifolia,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/70/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Gevleugeld helmkruid,Water-Helmkruid,Scrophularia umbrosa,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/71/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Leermos,Veelvingerig Lappenmos,Peltigera spec.,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/72/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Leermos,"Hondslappenmos, Hondsmos",Peltigera spec.,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/73/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Echt moederkoren,"Moederkoorn, Spoor, Roggespoor",Claviceps purpurea,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/74/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Hulst,Gewone Hulst,Ilex aquifolium,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/75/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Bosveldkers,Bosch Veldkers,Cardamine flexuosa,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/76/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Groot rimpelmos,Golvende Catharinen,Atrichum undulatum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/77/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Roze heikorst,Vleeschkleurige Heikorst,Baeomyces roseus,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/78/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Veelkleurig vergeet-mij-nietje,Wisselkleurig Muizenoor,Myosotis discolor subsp. discolor,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/79/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Wijdbloeiende rus,Wijdbloeijende Bloembies,Juncus tenageia,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/80/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Eenarig wollegras,Scheedevoerend Wolgras,Eriophorum vaginatum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/81/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Fraai haarmos,Bevallig Vrouwenhaar,Polytrichum formosum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/82/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Gewoon haarmos,Groot Vrouwenhaar,Polytrichum commune,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/83/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Heelbeen,Gekroond Heelbeen,Holosteum umbellatum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/84/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Oorsilene,Tweehuizige Silene,Silene otites,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/85/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Slanke zegge,Slank-arig Rietgras,Carex strigosa,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/86/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Zegge spec.,Glad of tweebindselig Rietgras,Carex spec.,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/87/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
cf. Pluimzegge,Pluimvormend Rietgras,Carex cf. paniculata subsp. paniculata,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/88/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Eenbes,Vierbladig Pariskruid,Paris quadrifolia,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/9/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Blauw walstro,Akker Sherardie,Sherardia arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/10/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Tengere veldmuur,Dunbladig Zandkruid,Minuartia hybrida,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/11/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Zomerklokje,Zomer Witbloem,Leucojum aestivum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/12/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Gevlekt longkruid,Gewoon Longenkruid,Pulmonaria officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/13/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Bosereprijs,Berg Eerenprijs,Veronica montana,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/14/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Gewone ossentong,Gewone Ossentong,Anchusa officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/15/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Klein wintergroen,Kortstijlig Wintergroen,Pyrola minor,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/16/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Knikkend nagelkruid,Knikkend Nagelkruid,Geum rivale,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/17/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Hazenzegge,Ovaal Rietgras,Carex leporina,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/18/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Platte bies,Zamengedrukte Knopbies,Blysmus compressus,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/19/zoom/3/lat/-68.65655498475735/lng/-30.761718749999996
Klein glidkruid,Klein Glidkruid,Scutellaria minor,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/20/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Zaagblad,Verw Zaagblad,Serratula tinctoria,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/21/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Veenmosorchis,Moeras Weekkruid,Hammarbya paludosa,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/22/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Groot dooiermos,Geel Schildmos,Xanthoria parietina,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/23/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Hertshoornweegbree,Hertshoorn Weegbree,Plantago coronopus,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/24/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Malrove,Witte Malrove,Marrubium vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/25/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Goudknopje,Vindeelige Cotula,Cotula coronopifolia,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/26/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Takmos spec,Gewoon Takmos,Ramalina spec.,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/27/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Valse hanenkam,Chanterelle,Hygrophoropsis aurantiaca,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/28/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Mattenbies,Matte-Bies,Schoenoplectus lacustris,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/29/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Langstengelig fonteinkruid,Uitgerekt Fonteinkruid,Potamogeton praelongus,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/30/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Kaal breukkruid,Onbehaard Duizendhoorn,Herniaria glabra,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/31/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Bonte wikke,Vlokkige Wikke,Vicia villosa,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/32/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Schaafstro,Winter Paardestaart,Equisetum hyemale,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/33/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Veen-melkviooltje,Dras-Viooltje,Viola stagnina var. stagnina,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/34/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Wilde kievitsbloem,Gewone Kievitsbloem,Fritillaria meleagris,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/35/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Boslathyrus,Bosch Latyrus,Lathyrus sylvestris,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/36/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Gewone viltmuts,Aloëbladig Vrouwenhaar,Pogonatum aloides,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/37/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Gewone morielje,Gewone Morilje,Morchella esculenta,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/38/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Noords walstro,Noordelijk Walstroo,Galium boreale,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/39/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Glanzige ooievaarsbek,,Geranium lucidum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/40/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Edel duizendblad,Edel Duizendblad,Achillea nobilis,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/41/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Gewoon muisjesmos,Kussenvormende Grimmia,Grimmia pulvinata,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/42/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Achterlichtmos [Gebogen en/of Muurachterachterlichtmos],Weggedoken Grimmia,Schistidium spec. [S. apocarpum s.str. en/of S. crassipilum],https://galerij.kb.nl/kb.html#/nl/florabatava09/page/43/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Galigaan,Moeras Galigaan,Cladium mariscus,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/44/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Wilde ridderspoor,Veld Riddersporen,Consolida regalis,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/45/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Ronde zegge,Rolrondachtig Rietgras,Carex diandra,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/46/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Boompjesmos,Boomvormig Laddermos,Climacium dendroides,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/47/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Grote viltmuts,Urne-dragend Vrouwenhaar,Pogonatum urnigerum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/48/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Gewoon bronmos,Groot Bronmos,Fontinalis antipyretica,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/48/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Ruw parelzaad,Ruwzadig Paarlkruid,Lithospermum arvense,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/49/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Witte rapunzel,Aarbloemige Raponsje,Phyteuma spicatum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/50/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Veldkruidkers,Zachtharige Kers,Lepidium campestre,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/51/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Groot vedermos,,Fissidens adianthoides,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/52/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Kleivedermos,,Fissidens taxifolius ,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/52/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Gezoomd vedermos,,Fissidens bryoides,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/52/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Hauwwier,Haauwdragende Rozenkrans,Halidrys siliquosa,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/53/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Draadgentiaan,Draadvormige Gentianelle,Cicendia filiformis,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/54/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Polei,Poley Munt,Mentha pulegium,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/55/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Zandzegge,Zand Rietgras,Carex arenaria,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/56/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Groot glaskruid,Gewoon Glaskruid,Parietaria officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/57/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Gewoon kraakloof,Stekelig Kraakloof,Cetraria aculeata,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/58/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Olijfschildmos,Grootvruchtig Schildmos,Parmelia acetabulum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/58/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Akkergeelster,Kleine Vogelmelk,Gagea villosa,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/59/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Bosgeelster,Gele Vogelmelk,Gagea lutea,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/60/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Moerasstreepzaad,Moerassig Havikskruid,Crepis paludosa,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/61/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Blaaszegge,Blaasvormend Rietgras,Carex vesicaria,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/62/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Vliermos,,Cryphaea heteromalla,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/63/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Ruw walstro,Ruwachtig Walstroo,Galium uliginosum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/64/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Tengere rus,Tengere Bloembies,Juncus tenuis,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/65/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Kleine steentijm,Tandbladige Thijm,Clinopodium acinos,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/66/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Gevlekte dovenetel,Gevlekte Doovenetel,Lamium maculatum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/67/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Kleine viltmuts,Dwergachtig Vrouwenhaar,Pogonatum nanum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/68/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Kluwenzuring,Getropte Zuring,Rumex conglomeratus,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/69/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Cipreswolfsmelk,Cypresbladige Wolfsmelk,Euphorbia cyparissias,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/70/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Heksenmelk,Stompbladige Wolfsmelk,Euphorbia esula,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/71/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Zandwolfsmelk,Spitsbladige Wolfsmelk,Euphorbia seguieriana,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/72/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Gewoon sterrenmos,Bogtig-gesteelde Knikvrucht,Mnium hornum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/73/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Gerimpeld boogsterrenmos,,Plagiomnium undulatum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/73/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Spits boogsterrenmos,,Plagiomnium cuspidatum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/73/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Karwijvarkenskervel,Karweibladige Angelica,Dichoropetalum carvifolia,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/74/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Wilde reseda,Gele Wouw,Reseda lutea,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/75/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Kleine rupsklaver,Kleinste Rupsklaver,Medicago minima,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/76/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Kraaihei,Zwarte Besheide,Empetrum nigrum,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/77/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Wimpermos,Gewimperd Schildmos,Anaptychia ciliaris,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/78/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Winterakoniet,Gele Winterbloem,Eranthis hyemalis,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/79/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Spiesleeuwenbek,Piekbladige Leeuwenbek,Kickxia elatine,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/80/zoom/3/lat/-66.96447630005638/lng/-21.005859375
Eironde leeuwenbek,Eirondbladige Leeuwenbek,Kickxia spuria,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/81/zoom/3/lat/-68.62454366344708/lng/-30.849609375
Torenkruid,Stengomvattende Scheefkelk,Turritisis glabra,https://galerij.kb.nl/kb.html#/nl/florabatava09/page/82/zoom/3/lat/-68.62454366344708/lng/-30.849609375
