Volume;File name;File type;Species name RAW;Species name CURRENT;Genus;Epithet;Group;Family;Dutch common name;Link.KB;;;;;;;;;;;;;
1;KW_T_423_1_0120R.tif.jpg;illustration;Poa annua;Poa annua;Poa;annua;Fungi;Psathyrellaceae;Glimmerinktzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava11/page/28/zoom/3/lat/-67.50856836293859/lng/-37.001953125;;;;;;;;;;;;;
1;KW_T_423_1_0122R.tif.jpg;illustration;Potamogeton compressum;Potamogeton cf compressus;Potamogeton;cf compressus;Fungi;Geoglossaceae;Slanke aardtong s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava11/page/37/zoom/3/lat/-67.50856836293859/lng/-37.001953125;;;;;;;;;;;;;
1;KW_T_423_1_0124R.tif.jpg;illustration;Samolus Valerandi;Samolus valerandi;Samolus;valerandi;Fungi;Boletaceae;Roodsteelfluweelboleet s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava12/page/27/zoom/3/lat/-66.5482634621744/lng/-29.091796875;;;;;;;;;;;;;
1;KW_T_423_1_0126R.tif.jpg;illustration;Chenopodium rubrum;Chenopodium album;Chenopodium;album;Fungi;Clavicipitaceae;Echte moederkoren s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava12/page/33/zoom/3/lat/-66.5482634621744/lng/-29.091796875;;;;;;;;;;;;;
1;KW_T_423_1_0128R.tif.jpg;illustration;Stellaria graminea;Stellaria graminea;Stellaria;graminea;Fungi;Gelatinodiscaceae;Paarse knoopzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava14/page/43/zoom/3/lat/-65.03506043658815/lng/-28.916015625;;;;;;;;;;;;;
1;KW_T_423_1_0130R.tif.jpg;illustration;Nymphaea lutea;Nuphar lutea;Nuphar;lutea;Fungi;Melanoleucaceae;Kortstelige veldridderzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava14/page/63/zoom/3/lat/-65.03506043658815/lng/-28.916015625;;;;;;;;;;;;;
1;KW_T_423_1_0132R.tif.jpg;illustration;Teucrium Scorodonia;Teucrium scorodonia;Teucrium;scorodonia;Fungi;Omphalotaceae;Eikenbladzwammetje s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava17/page/52/zoom/3/lat/-68.56038368664157/lng/-27.333984375;;;;;;;;;;;;;
1;KW_T_423_1_0134R.tif.jpg;illustration;Trifolium arvense;Trifolium arvense;Trifolium;arvense;Flowering plants;Poaceae;Veldbeemgras;https://galerij.kb.nl/kb.html#/nl/florabatava18/page/50/zoom/3/lat/-68.56038368664157/lng/-27.333984375;;;;;;;;;;;;;
1;KW_T_423_1_0136R.tif.jpg;illustration;Centaurea jacea;Centaurea jacea;Centaurea;jacea;Fungi;Tricholomataceae;Witte ridderzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava18/page/57/zoom/3/lat/-68.56038368664157/lng/-27.333984375;;;;;;;;;;;;;
1;KW_T_423_1_0138R.tif.jpg;illustration;Asplenium Ruta muraria;Asplenium ruta-muraria;Asplenium;ruta-muraria;Fungi;Russulaceae;Braakrussula;https://galerij.kb.nl/kb.html#/nl/florabatava18/page/62/zoom/3/lat/-68.56038368664157/lng/-27.333984375;;;;;;;;;;;;;
1;KW_T_423_1_0140R.tif.jpg;illustration;Aira cespitosa;Deschampsia cespitosa;Deschampsia;cespitosa;Fungi;Russulaceae;Duifrussula s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava19/page/42/zoom/3/lat/-68.6885206018014/lng/-21.357421875;;;;;;;;;;;;;
1;KW_T_423_1_0142R.tif.jpg;illustration;Hydrocotyle vulgaris;Hydrocotyle vulgaris;Hydrocotyle;vulgaris;Fungi;Russulaceae;Vissige eikenrussula s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava19/page/47/zoom/3/lat/-68.6885206018014/lng/-21.357421875;;;;;;;;;;;;;
1;KW_T_423_1_0144R.tif.jpg;illustration;Parnassia palustris;Parnassia palustris;Parnassia;palustris;Fungi;Pyronemataceae;Oranje mosbekertje s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava19/page/53/zoom/3/lat/-68.6885206018014/lng/-21.357421875;;;;;;;;;;;;;
