plant_id,volume,species_raw,species_current,genus,epithet,group,family,dutch_name,kb_link,multi_species,all_species
KW_T_423_25_0052L,25,Lactarius scrobiculatus,Lactarius resimus,Lactarius,resimus,Ferns,Salviniaceae,Grote kroosvaren,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/76/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Lactarius resimus
KW_T_423_25_0054L,25,Polyporus schweinitzii,Phaeolus schweinitzii,Phaeolus,schweinitzii,Fungi,Ophiocordycipitaceae,Zwarte truffelknotszwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/78/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Phaeolus schweinitzii
KW_T_423_25_0056L,25,Pinus larix,Larix decidua,Larix,decidua,Fungi,Stereaceae,Gele korstzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/79/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Larix decidua
KW_T_423_25_0058L,25,Rubus chlorothyrsos,Rubus chlorothyrsos,Rubus,chlorothyrsos,Flowering plants,Resedaceae,Witte reseda,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/80/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Rubus chlorothyrsos
KW_T_423_25_0061L,25,Dasyscypha calycina (= Peziza willkommii),Lachnellula willkommii,Lachnellula,willkommii,Flowering plants,Poaceae,Akkerdravik,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/81/zoom/3/lat/-63.19401843808783/lng/-25.927734374999996,False,Lachnellula willkommii
KW_T_423_25_0063L,25,Mycena galopoda,Mycena galopus,Mycena,galopus,Flowering plants,Polygonaceae,Paardenzuring,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/82/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Mycena galopus
KW_T_423_25_0065L,25,Arcyria punicea,Arcyria denudata,Arcyria,denudata,Fungi,Clitocybaceae,Purperknolcollybia,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/83/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Arcyria denudata
KW_T_423_25_0067L,25,Rumex orientalis,Rumex patientia subsp. orientalis,Rumex,patientia subsp. orientalis,Fungi,Lyophyllaceae,Grauwkop spec.,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/84/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Rumex patientia subsp. orientalis
KW_T_423_25_0069L,25,Cenchrus tribuloides,Cenchrus pauciflorus,Cenchrus,pauciflorus,Fungi,Reticulariaceae,Zilveren boomkussen,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/85/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Cenchrus pauciflorus
KW_T_423_25_0071L,25,Galera vestita / Pholiota blattaria,Pholiotina velata s.l. / Pholiotina blattaria,Pholiotina,velata s.l. / blattaria,Flowering plants,Asteraceae,Iva / Fraai streepzaad,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/87/zoom/3/lat/-65.6220226151064/lng/-26.103515625,True,Pholiotina velata s.l. / Pholiotina blattaria
