genus,n_images,mean_pairwise_distance,std_pairwise_distance,color_space_volume,centroid_L,centroid_a,centroid_b
Briza,2,7.66024103108538,0.0,,65.32622903839865,-5.15108672557071,20.330619245025847
Bromopsis,1,,,,70.85685434051966,-0.8746890366029038,28.657193811116365
Bromus,11,11.222553658417581,4.488596802098623,521.8528425706543,60.87162604994779,-1.0360539439843404,16.34060761810315
Bryonia,1,,,,54.43703492757275,-3.037675083603858,15.691060094028673
Bryum,23,13.696747146483617,7.310511272088834,3133.369139701941,57.100358483588394,-0.6765742409849584,10.57536867286235
Bulgaria,1,,,,54.635424813077265,-7.299726805765928,11.645957970660483
Bunias,1,,,,49.68539731863372,-1.8327081490429862,9.042701594739425
Bunium,1,,,,56.43493212795656,0.7589096339494203,17.544437477757125
Bupleurum,3,9.87081206646811,4.795395770692567,,60.06956628980811,0.42336364956910205,15.70068523951632
Butomus,1,,,,79.06932505378634,-1.6969181182181938,14.860281750397455
Butyriboletus,1,,,,64.40403723599732,1.0772433477753331,21.32231597404887
Buxbaumia,1,,,,64.58135881391327,-0.4786703035886702,17.458038368012314
